divNo,mainCode,productCode,sumOfCases,startingStoreCount,year1,year2,year3,year4,year5,year6,fcYear1,fcYear2,fcYear3,fcYear4,fcYear5,fcYear6,supplierNo,lySales
18,100074,100074,351.6,149,2026,2027,2028,2029,2030,2031,51.3,61.8,62.1,52.3,59.5,64.6,10007,940
13,100074,100074,346.7,272,2026,2027,2028,2029,2030,2031,61.9,59.9,65.3,47.8,61.1,50.7,10007,1156
997,100075,100075,369.3,95,2026,2027,2028,2029,2030,2031,63.5,59.4,60.5,63.9,67.7,54.3,10013,441
999,100075,100075,334.8,117,2026,2027,2028,2029,2030,2031,49.9,67.7,63.1,50.8,49.3,54.0,10013,266
12,100075,100075,334.2,132,2026,2027,2028,2029,2030,2031,60.1,53.5,55.0,62.6,51.5,51.5,10013,361
998,100076,100076,3628.5,251,2026,2027,2028,2029,2030,2031,603.6,506.9,635.6,598.6,686.1,597.7,10012,4646
10,100076,100076,3320.0,142,2026,2027,2028,2029,2030,2031,576.4,601.0,510.8,537.0,535.4,559.4,10012,4058
16,100076,100076,3764.7,79,2026,2027,2028,2029,2030,2031,684.7,617.4,588.4,605.9,644.6,623.7,10012,5101
19,100076,100076,3809.4,132,2026,2027,2028,2029,2030,2031,582.5,675.4,616.5,618.0,686.5,630.5,10012,4302
18,100077,100077,450.5,125,2026,2027,2028,2029,2030,2031,63.5,76.3,82.9,76.2,76.1,75.5,10013,2200
10,100077,100077,463.3,51,2026,2027,2028,2029,2030,2031,67.9,76.2,87.5,67.2,87.7,76.8,10013,1911
7,100078,100078,576.2,215,2026,2027,2028,2029,2030,2031,90.9,80.7,94.5,99.7,108.4,102.0,10020,2599
998,100078,100078,515.4,95,2026,2027,2028,2029,2030,2031,79.6,99.2,78.1,100.2,78.6,79.7,10020,2569
9,100079,100079,894.3,208,2026,2027,2028,2029,2030,2031,156.3,146.2,125.0,158.5,151.4,156.9,10018,861
14,100079,100079,887.1,225,2026,2027,2028,2029,2030,2031,162.2,126.4,167.4,142.4,149.8,138.9,10018,1028
13,100079,100079,888.7,186,2026,2027,2028,2029,2030,2031,128.5,163.2,146.5,144.3,157.9,148.3,10018,971
15,100079,100079,929.6,277,2026,2027,2028,2029,2030,2031,162.3,164.8,167.5,139.2,156.5,139.3,10018,1458
1,100080,100080,505.8,239,2026,2027,2028,2029,2030,2031,76.1,92.4,86.9,91.7,77.4,81.3,10009,3935
18,100080,100080,519.6,263,2026,2027,2028,2029,2030,2031,85.4,87.5,94.7,90.6,79.8,81.6,10009,2698
5,100080,100080,545.8,190,2026,2027,2028,2029,2030,2031,78.3,95.5,92.3,76.5,97.9,105.3,10009,3094
4,100080,100080,517.1,134,2026,2027,2028,2029,2030,2031,91.7,83.8,76.9,77.8,97.1,89.8,10009,2896
4,100081,100081,310.6,194,2026,2027,2028,2029,2030,2031,58.3,48.1,50.4,53.3,47.8,52.7,10014,312
10,100081,100081,320.6,214,2026,2027,2028,2029,2030,2031,56.6,59.3,45.5,48.0,56.2,55.0,10014,288
20,100081,100081,314.7,128,2026,2027,2028,2029,2030,2031,57.2,44.9,55.3,57.9,50.6,48.8,10014,297
3,100081,100081,304.6,100,2026,2027,2028,2029,2030,2031,44.4,53.8,43.9,47.4,57.0,58.1,10014,257
1,100082,100082,1424.9,188,2026,2027,2028,2029,2030,2031,247.4,263.0,217.2,202.8,221.2,273.3,10013,1848
17,100082,100082,1458.5,168,2026,2027,2028,2029,2030,2031,263.5,229.8,218.1,263.3,260.1,223.7,10013,1881
997,100082,100082,1416.4,225,2026,2027,2028,2029,2030,2031,207.2,229.7,200.6,219.4,279.0,280.5,10013,1503
19,100082,100082,1504.1,238,2026,2027,2028,2029,2030,2031,242.0,236.5,214.5,277.8,254.0,279.3,10013,2141
8,100083,100083,551.0,166,2026,2027,2028,2029,2030,2031,91.1,80.4,85.8,108.6,90.8,94.3,10018,914
3,100083,100083,561.2,239,2026,2027,2028,2029,2030,2031,80.3,100.2,82.4,110.6,99.7,88.0,10018,638
9,100083,100083,579.2,182,2026,2027,2028,2029,2030,2031,96.8,84.7,100.3,90.9,100.3,106.2,10018,633
12,100084,100084,511.1,181,2026,2027,2028,2029,2030,2031,92.4,95.2,69.9,95.0,82.3,76.3,10016,1068
16,100084,100084,470.7,257,2026,2027,2028,2029,2030,2031,75.8,75.1,80.1,90.3,73.1,76.3,10016,883
16,100085,100085,481.1,84,2026,2027,2028,2029,2030,2031,84.5,86.1,79.5,74.8,71.6,84.6,10008,1034
7,100085,100085,465.7,203,2026,2027,2028,2029,2030,2031,69.1,84.0,69.6,75.2,73.0,94.8,10008,1230
999,100086,100086,350.6,86,2026,2027,2028,2029,2030,2031,54.6,62.7,59.9,60.1,54.7,58.6,10014,1249
998,100086,100086,362.7,166,2026,2027,2028,2029,2030,2031,67.1,53.9,63.8,55.6,65.1,57.2,10014,1123
10,100086,100086,342.8,225,2026,2027,2028,2029,2030,2031,51.6,58.0,52.9,50.5,60.9,68.9,10014,1010
3,100086,100086,345.4,178,2026,2027,2028,2029,2030,2031,53.2,52.1,60.0,62.8,51.0,66.3,10014,1222
5,100087,100087,5322.4,273,2026,2027,2028,2029,2030,2031,898.5,735.6,1019.1,940.7,865.9,862.6,10013,11304
20,100087,100087,5417.1,239,2026,2027,2028,2029,2030,2031,895.7,804.7,978.1,974.3,850.7,913.6,10013,19380
14,100088,100088,378.6,51,2026,2027,2028,2029,2030,2031,68.2,71.3,53.6,64.6,63.5,57.4,10003,549
5,100088,100088,371.6,130,2026,2027,2028,2029,2030,2031,68.7,64.2,54.4,52.0,65.8,66.5,10003,461
9,100088,100088,363.9,206,2026,2027,2028,2029,2030,2031,54.1,60.9,64.3,57.4,63.3,63.9,10003,422
16,100088,100088,385.7,192,2026,2027,2028,2029,2030,2031,66.4,68.0,60.7,68.6,62.2,59.8,10003,483
999,100089,100089,742.9,104,2026,2027,2028,2029,2030,2031,134.5,126.4,130.1,117.7,128.1,106.1,10016,2116
13,100089,100089,732.9,212,2026,2027,2028,2029,2030,2031,131.6,132.2,124.6,127.5,101.6,115.4,10016,1480
5,100089,100089,673.9,70,2026,2027,2028,2029,2030,2031,103.2,105.4,137.4,117.3,102.1,108.5,10016,2243
13,100090,100090,903.3,52,2026,2027,2028,2029,2030,2031,141.6,176.9,129.6,167.0,135.8,152.4,10017,733
20,100090,100090,910.9,109,2026,2027,2028,2029,2030,2031,160.9,168.6,141.6,128.4,157.9,153.5,10017,955
997,100090,100090,917.7,152,2026,2027,2028,2029,2030,2031,161.8,145.4,160.8,177.5,131.2,141.0,10017,815
17,100090,100090,884.9,122,2026,2027,2028,2029,2030,2031,147.3,157.2,153.7,165.1,130.2,131.4,10017,1015
12,100091,100091,299.1,193,2026,2027,2028,2029,2030,2031,59.4,50.5,49.6,42.6,45.6,51.4,10002,446
9,100091,100091,337.0,197,2026,2027,2028,2029,2030,2031,47.6,59.1,56.6,59.2,57.8,56.7,10002,510
8,100091,100091,301.6,224,2026,2027,2028,2029,2030,2031,50.2,49.1,51.0,46.8,48.4,56.1,10002,585
20,100091,100091,297.5,223,2026,2027,2028,2029,2030,2031,52.8,43.0,44.5,43.7,53.6,59.9,10002,672
12,100092,100092,301.9,69,2026,2027,2028,2029,2030,2031,42.7,57.1,46.8,44.1,54.3,56.9,10001,413
17,100092,100092,293.7,288,2026,2027,2028,2029,2030,2031,45.6,48.0,46.3,52.5,45.7,55.6,10001,498
18,100092,100092,302.5,113,2026,2027,2028,2029,2030,2031,51.2,46.0,55.4,57.8,46.1,46.0,10001,480
4,100093,100093,536.3,145,2026,2027,2028,2029,2030,2031,97.1,83.8,69.9,94.3,97.2,94.0,10011,527
3,100093,100093,553.6,284,2026,2027,2028,2029,2030,2031,83.8,98.0,95.4,94.6,83.8,98.0,10011,495
998,100093,100093,509.0,58,2026,2027,2028,2029,2030,2031,81.1,91.2,73.4,84.8,81.8,96.7,10011,492
6,100094,100094,1308.1,133,2026,2027,2028,2029,2030,2031,237.5,219.4,236.8,185.3,200.5,228.6,10015,4775
15,100094,100094,1325.7,97,2026,2027,2028,2029,2030,2031,249.9,198.7,204.4,204.9,257.3,210.5,10015,5204
4,100094,100094,1303.9,83,2026,2027,2028,2029,2030,2031,200.4,237.7,212.7,249.3,205.7,198.1,10015,6705
4,100095,100095,305.4,95,2026,2027,2028,2029,2030,2031,50.1,49.2,45.1,59.3,45.1,56.6,10001,1143
9,100095,100095,307.3,114,2026,2027,2028,2029,2030,2031,44.9,58.1,53.5,51.8,48.0,51.0,10001,1244
8,100095,100095,307.6,211,2026,2027,2028,2029,2030,2031,52.4,49.5,54.6,43.6,56.7,50.8,10001,909
18,100095,100095,308.8,155,2026,2027,2028,2029,2030,2031,55.5,47.0,48.8,52.3,56.7,48.5,10001,927
7,100096,100096,410.7,277,2026,2027,2028,2029,2030,2031,60.1,74.1,64.3,71.7,67.4,73.1,10003,1774
19,100096,100096,439.9,157,2026,2027,2028,2029,2030,2031,70.3,66.8,78.2,76.2,70.9,77.5,10003,2563
997,100096,100096,387.3,124,2026,2027,2028,2029,2030,2031,69.3,75.7,57.7,59.8,61.4,63.4,10003,2675
18,100096,100096,437.2,183,2026,2027,2028,2029,2030,2031,70.1,65.2,76.6,74.1,77.8,73.4,10003,3039
1,100097,100097,301.5,66,2026,2027,2028,2029,2030,2031,54.1,59.0,54.8,43.9,45.4,44.3,10004,1514
5,100097,100097,306.1,208,2026,2027,2028,2029,2030,2031,50.8,43.4,56.0,51.7,59.9,44.3,10004,951
8,100097,100097,307.7,83,2026,2027,2028,2029,2030,2031,54.0,58.0,47.9,46.8,47.5,53.5,10004,1219
12,100098,100098,2942.0,292,2026,2027,2028,2029,2030,2031,526.7,463.2,527.8,538.0,476.2,410.1,10015,18402
11,100098,100098,2831.3,213,2026,2027,2028,2029,2030,2031,416.8,484.0,489.4,490.2,478.7,472.2,10015,16785
8,100099,100099,521.5,84,2026,2027,2028,2029,2030,2031,85.2,88.5,80.5,76.0,92.0,99.3,10004,967
3,100099,100099,542.1,160,2026,2027,2028,2029,2030,2031,90.3,75.9,104.4,105.1,90.5,75.9,10004,1258
15,100099,100099,561.3,113,2026,2027,2028,2029,2030,2031,94.2,100.5,92.7,81.5,103.1,89.3,10004,852
13,100100,100100,322.0,122,2026,2027,2028,2029,2030,2031,49.9,46.7,55.9,58.4,56.6,54.5,10020,653
8,100100,100100,277.8,166,2026,2027,2028,2029,2030,2031,51.8,47.2,45.8,43.7,44.9,44.4,10020,642
9,100100,100100,284.6,97,2026,2027,2028,2029,2030,2031,47.3,53.4,45.8,42.8,43.4,51.9,10020,770
3,100100,100100,271.8,105,2026,2027,2028,2029,2030,2031,47.4,44.7,50.2,42.6,44.1,42.8,10020,543
16,100101,100101,289.6,150,2026,2027,2028,2029,2030,2031,54.7,43.1,43.9,55.6,45.1,47.2,10017,891
12,100101,100101,312.2,246,2026,2027,2028,2029,2030,2031,50.7,45.9,57.2,56.8,57.0,44.6,10017,1354
15,100101,100101,316.9,74,2026,2027,2028,2029,2030,2031,49.2,59.6,46.8,59.9,46.0,55.4,10017,1215
998,100102,100102,311.6,173,2026,2027,2028,2029,2030,2031,58.9,45.3,55.2,55.5,52.1,44.6,10012,433
10,100102,100102,306.0,133,2026,2027,2028,2029,2030,2031,46.0,58.0,57.6,46.3,44.5,53.6,10012,283
13,100103,100103,5372.2,113,2026,2027,2028,2029,2030,2031,990.5,877.5,909.4,908.8,753.2,932.8,10014,7943
8,100103,100103,5217.0,215,2026,2027,2028,2029,2030,2031,734.7,888.4,979.4,998.7,890.3,725.5,10014,7920
1,100103,100103,5021.3,138,2026,2027,2028,2029,2030,2031,864.4,739.4,850.3,800.4,870.8,896.0,10014,11828
1,100104,100104,679.5,228,2026,2027,2028,2029,2030,2031,110.2,101.4,131.6,115.2,113.4,107.7,10012,2695
999,100104,100104,709.7,270,2026,2027,2028,2029,2030,2031,118.5,117.6,108.9,114.6,130.4,119.7,10012,2800
13,100104,100104,621.9,213,2026,2027,2028,2029,2030,2031,98.8,102.2,107.7,106.5,110.6,96.1,10012,2721
1,100105,100105,2373.6,246,2026,2027,2028,2029,2030,2031,370.5,335.8,457.6,437.6,352.8,419.3,10007,14288
20,100105,100105,2270.3,263,2026,2027,2028,2029,2030,2031,409.9,370.7,413.6,342.1,397.8,336.2,10007,17500
12,100105,100105,2122.8,149,2026,2027,2028,2029,2030,2031,351.3,331.5,341.7,353.1,331.5,413.7,10007,15173
8,100105,100105,2303.9,288,2026,2027,2028,2029,2030,2031,398.1,421.8,361.7,376.6,408.9,336.8,10007,17361
3,100106,100106,389.5,207,2026,2027,2028,2029,2030,2031,59.6,67.7,70.9,69.4,68.8,53.1,10019,943
15,100106,100106,362.7,235,2026,2027,2028,2029,2030,2031,52.7,53.4,58.3,72.0,72.4,53.9,10019,920
997,100106,100106,381.9,192,2026,2027,2028,2029,2030,2031,60.1,56.0,65.9,64.0,72.1,63.8,10019,1042
2,100106,100106,377.5,92,2026,2027,2028,2029,2030,2031,54.1,65.5,59.5,61.6,66.1,70.7,10019,1290
11,100107,100107,604.6,145,2026,2027,2028,2029,2030,2031,115.1,96.5,93.4,92.2,114.9,92.5,10011,727
998,100107,100107,588.6,190,2026,2027,2028,2029,2030,2031,102.9,109.4,92.5,89.7,99.9,94.2,10011,964
6,100107,100107,616.1,202,2026,2027,2028,2029,2030,2031,90.1,113.9,96.6,94.9,106.0,114.6,10011,545
18,100107,100107,575.1,247,2026,2027,2028,2029,2030,2031,86.1,111.5,81.8,114.7,88.8,92.2,10011,916
18,100108,100108,654.1,115,2026,2027,2028,2029,2030,2031,98.9,113.2,101.3,105.6,130.1,105.0,10020,4784
17,100108,100108,714.8,94,2026,2027,2028,2029,2030,2031,98.8,110.9,131.2,124.0,123.6,126.3,10020,4003
19,100108,100108,696.5,256,2026,2027,2028,2029,2030,2031,130.4,122.8,127.3,98.9,120.4,96.7,10020,4216
5,100108,100108,668.6,272,2026,2027,2028,2029,2030,2031,98.3,97.4,125.4,108.8,127.2,111.5,10020,3114
20,100109,100109,750.8,133,2026,2027,2028,2029,2030,2031,132.9,132.8,107.7,128.2,119.3,129.9,10009,993
1,100109,100109,738.2,179,2026,2027,2028,2029,2030,2031,115.0,107.6,137.2,122.5,124.7,131.2,10009,748
13,100110,100110,1092.6,248,2026,2027,2028,2029,2030,2031,168.7,201.6,166.5,190.0,168.9,196.9,10006,7732
5,100110,100110,1178.7,238,2026,2027,2028,2029,2030,2031,214.4,195.5,176.5,189.8,201.6,200.9,10006,7012
11,100110,100110,1134.6,155,2026,2027,2028,2029,2030,2031,179.5,181.1,192.1,209.2,201.9,170.8,10006,6594
12,100111,100111,414.3,87,2026,2027,2028,2029,2030,2031,56.7,63.1,78.9,70.3,79.0,66.3,10020,381
20,100111,100111,401.5,239,2026,2027,2028,2029,2030,2031,77.4,61.5,71.9,59.7,72.9,58.1,10020,290
997,100111,100111,435.2,78,2026,2027,2028,2029,2030,2031,78.0,77.5,76.2,75.0,56.4,72.1,10020,349
997,100112,100112,745.8,228,2026,2027,2028,2029,2030,2031,116.1,130.2,118.5,128.4,139.3,113.3,10011,4993
18,100112,100112,745.3,228,2026,2027,2028,2029,2030,2031,123.7,147.1,130.3,118.4,109.8,116.0,10011,4857
7,100112,100112,740.9,218,2026,2027,2028,2029,2030,2031,109.4,136.0,107.5,124.2,119.1,144.7,10011,4155
13,100113,100113,466.1,72,2026,2027,2028,2029,2030,2031,84.7,73.0,78.0,82.8,72.4,75.2,10002,2075
8,100113,100113,428.8,135,2026,2027,2028,2029,2030,2031,72.8,71.7,83.4,60.9,66.5,73.5,10002,2540
12,100114,100114,872.5,277,2026,2027,2028,2029,2030,2031,125.0,159.8,137.4,152.0,143.2,155.1,10013,3135
998,100114,100114,863.6,85,2026,2027,2028,2029,2030,2031,160.3,158.2,158.4,124.5,129.9,132.3,10013,1815
997,100114,100114,826.4,89,2026,2027,2028,2029,2030,2031,131.8,159.0,142.6,143.2,124.6,125.2,10013,2305
10,100114,100114,811.7,225,2026,2027,2028,2029,2030,2031,128.6,142.3,135.0,120.1,144.5,141.2,10013,2846
999,100115,100115,329.2,90,2026,2027,2028,2029,2030,2031,58.4,50.0,58.4,56.0,54.0,52.4,10012,801
17,100115,100115,317.2,245,2026,2027,2028,2029,2030,2031,52.3,59.1,44.6,48.1,57.9,55.2,10012,802
10,100116,100116,419.0,206,2026,2027,2028,2029,2030,2031,80.0,64.3,76.3,60.3,62.2,75.9,10003,2619
15,100116,100116,398.0,249,2026,2027,2028,2029,2030,2031,72.2,72.4,72.0,63.3,58.4,59.7,10003,2413
997,100116,100116,431.0,85,2026,2027,2028,2029,2030,2031,69.8,72.2,74.7,66.7,78.1,69.5,10003,1954
9,100117,100117,2303.3,162,2026,2027,2028,2029,2030,2031,359.1,419.9,356.4,356.7,352.9,458.3,10012,3777
14,100117,100117,2240.0,238,2026,2027,2028,2029,2030,2031,395.3,373.0,390.9,362.4,383.8,334.6,10012,3698
20,100118,100118,310.5,274,2026,2027,2028,2029,2030,2031,54.8,55.9,44.0,45.3,51.5,59.0,10008,1191
19,100118,100118,320.0,62,2026,2027,2028,2029,2030,2031,52.6,50.4,56.5,53.3,52.6,54.6,10008,747
18,100118,100118,310.9,285,2026,2027,2028,2029,2030,2031,51.2,59.1,57.2,48.5,46.3,48.6,10008,672
17,100118,100118,309.7,249,2026,2027,2028,2029,2030,2031,52.6,45.9,58.2,51.4,56.2,45.4,10008,965
13,100119,100119,779.4,132,2026,2027,2028,2029,2030,2031,107.3,126.1,145.5,145.4,144.9,110.2,10017,3345
14,100119,100119,773.5,142,2026,2027,2028,2029,2030,2031,145.9,141.1,137.7,111.7,111.2,125.9,10017,2253
11,100119,100119,800.7,61,2026,2027,2028,2029,2030,2031,137.2,138.1,148.9,133.0,113.2,130.3,10017,3482
15,100119,100119,783.5,232,2026,2027,2028,2029,2030,2031,146.2,131.0,135.1,112.8,144.3,114.1,10017,2192
15,100120,100120,383.4,177,2026,2027,2028,2029,2030,2031,57.5,73.4,74.7,53.6,70.4,53.8,10007,917
10,100120,100120,381.5,154,2026,2027,2028,2029,2030,2031,65.5,53.7,73.0,58.8,66.5,64.0,10007,729
997,100120,100120,392.2,103,2026,2027,2028,2029,2030,2031,66.8,53.7,73.0,59.7,67.4,71.6,10007,551
2,100121,100121,2726.0,156,2026,2027,2028,2029,2030,2031,491.7,463.7,489.3,408.5,501.7,371.1,10013,3328
5,100121,100121,2623.3,297,2026,2027,2028,2029,2030,2031,388.0,406.4,462.8,468.6,449.5,448.0,10013,2499
2,100122,100122,763.7,84,2026,2027,2028,2029,2030,2031,128.2,128.7,114.5,130.9,136.6,124.8,10019,810
3,100122,100122,763.4,196,2026,2027,2028,2029,2030,2031,150.8,126.4,130.3,121.0,120.9,114.0,10019,1192
10,100122,100122,884.0,123,2026,2027,2028,2029,2030,2031,140.2,156.6,133.5,142.9,154.2,156.6,10019,1002
11,100122,100122,844.5,177,2026,2027,2028,2029,2030,2031,150.2,123.3,137.7,139.9,153.9,139.5,10019,1060
6,100123,100123,342.5,103,2026,2027,2028,2029,2030,2031,54.2,52.3,50.8,57.7,64.3,63.2,10003,806
20,100123,100123,349.7,101,2026,2027,2028,2029,2030,2031,68.4,56.7,55.1,59.6,61.2,48.7,10003,761
8,100123,100123,331.6,135,2026,2027,2028,2029,2030,2031,53.5,49.8,54.4,59.4,63.8,50.7,10003,618
999,100123,100123,334.8,222,2026,2027,2028,2029,2030,2031,62.9,60.7,49.0,52.0,55.0,55.2,10003,675
997,100124,100124,389.1,287,2026,2027,2028,2029,2030,2031,55.2,61.7,70.3,71.0,61.7,69.2,10008,838
5,100124,100124,373.4,225,2026,2027,2028,2029,2030,2031,69.7,58.2,67.3,58.6,63.3,56.3,10008,658
16,100124,100124,377.4,146,2026,2027,2028,2029,2030,2031,71.4,68.8,53.3,55.0,69.8,59.1,10008,787
13,100125,100125,412.0,155,2026,2027,2028,2029,2030,2031,69.8,76.1,73.5,72.4,63.4,56.8,10010,1191
6,100125,100125,407.8,145,2026,2027,2028,2029,2030,2031,76.4,64.7,75.3,63.1,68.2,60.1,10010,1854
15,100126,100126,762.4,184,2026,2027,2028,2029,2030,2031,107.3,127.4,128.1,114.6,146.7,138.3,10013,1993
17,100126,100126,798.7,102,2026,2027,2028,2029,2030,2031,120.6,139.9,110.5,149.2,128.8,149.7,10013,2553
17,100127,100127,2532.9,76,2026,2027,2028,2029,2030,2031,388.3,350.5,464.5,467.8,391.5,470.3,10018,2460
4,100127,100127,2501.2,99,2026,2027,2028,2029,2030,2031,437.7,388.5,426.1,388.5,470.7,389.7,10018,2118
1,100127,100127,2422.9,295,2026,2027,2028,2029,2030,2031,419.7,453.8,439.4,382.9,366.6,360.5,10018,2609
12,100128,100128,2124.4,136,2026,2027,2028,2029,2030,2031,328.3,400.2,346.4,341.5,319.4,388.6,10001,13459
18,100128,100128,2053.6,150,2026,2027,2028,2029,2030,2031,316.7,314.0,425.6,316.7,359.3,321.3,10001,10609
11,100128,100128,2328.3,259,2026,2027,2028,2029,2030,2031,386.4,386.0,417.1,399.6,389.0,350.2,10001,10760
9,100128,100128,2359.8,73,2026,2027,2028,2029,2030,2031,407.1,413.6,320.3,428.1,407.9,382.8,10001,15606
15,100129,100129,321.8,283,2026,2027,2028,2029,2030,2031,57.1,52.7,48.4,48.3,59.9,55.4,10002,381
10,100129,100129,321.7,66,2026,2027,2028,2029,2030,2031,47.5,60.9,50.2,59.9,50.1,53.1,10002,409
998,100129,100129,310.4,76,2026,2027,2028,2029,2030,2031,50.6,52.6,47.3,58.2,55.2,46.5,10002,392
997,100129,100129,305.4,201,2026,2027,2028,2029,2030,2031,57.2,46.1,54.3,45.5,49.7,52.6,10002,394
6,100130,100130,1295.6,189,2026,2027,2028,2029,2030,2031,195.8,229.2,213.5,227.2,202.5,227.4,10009,5412
16,100130,100130,1259.6,202,2026,2027,2028,2029,2030,2031,183.9,219.0,224.0,222.0,230.9,179.8,10009,4740
13,100130,100130,1220.2,258,2026,2027,2028,2029,2030,2031,210.9,229.8,184.2,239.3,176.6,179.4,10009,5128
3,100130,100130,1186.4,198,2026,2027,2028,2029,2030,2031,229.7,194.8,217.3,176.0,187.1,181.5,10009,6020
5,100131,100131,575.4,253,2026,2027,2028,2029,2030,2031,90.4,101.2,95.6,87.6,109.9,90.7,10012,1422
998,100131,100131,587.5,52,2026,2027,2028,2029,2030,2031,90.9,112.1,95.2,113.4,92.2,83.7,10012,1216
15,100131,100131,622.1,50,2026,2027,2028,2029,2030,2031,97.7,108.9,109.1,82.8,110.7,112.9,10012,1279
18,100131,100131,612.3,150,2026,2027,2028,2029,2030,2031,108.0,92.7,109.4,109.5,88.6,104.1,10012,1225
13,100132,100132,833.7,89,2026,2027,2028,2029,2030,2031,142.8,134.1,120.9,130.0,154.9,151.0,10019,2074
14,100132,100132,797.4,218,2026,2027,2028,2029,2030,2031,152.5,118.0,112.7,142.2,118.9,153.1,10019,2285
18,100132,100132,829.2,204,2026,2027,2028,2029,2030,2031,157.9,116.1,141.9,131.4,133.3,148.6,10019,2989
7,100132,100132,808.7,158,2026,2027,2028,2029,2030,2031,141.0,133.2,131.8,150.1,130.0,122.6,10019,2525
8,100133,100133,946.4,78,2026,2027,2028,2029,2030,2031,148.1,155.1,145.8,177.7,156.3,163.4,10014,937
999,100133,100133,963.7,121,2026,2027,2028,2029,2030,2031,176.8,130.8,164.7,154.1,171.5,165.8,10014,875
17,100133,100133,928.4,69,2026,2027,2028,2029,2030,2031,130.7,173.1,131.3,151.3,165.3,176.7,10014,992
9,100133,100133,925.9,166,2026,2027,2028,2029,2030,2031,154.8,156.9,158.6,173.8,154.6,127.2,10014,900
11,100134,100134,603.1,236,2026,2027,2028,2029,2030,2031,111.5,106.2,89.4,81.1,110.3,104.6,10018,880
14,100134,100134,577.7,238,2026,2027,2028,2029,2030,2031,88.5,100.6,98.9,98.7,101.5,89.5,10018,808
12,100134,100134,549.6,121,2026,2027,2028,2029,2030,2031,89.3,82.6,96.5,107.9,89.0,84.3,10018,650
20,100135,100135,319.0,96,2026,2027,2028,2029,2030,2031,57.6,56.2,50.9,47.4,58.4,48.5,10018,490
6,100135,100135,311.0,176,2026,2027,2028,2029,2030,2031,59.9,50.4,45.7,46.8,61.2,47.0,10018,479
19,100135,100135,318.4,265,2026,2027,2028,2029,2030,2031,51.7,51.2,56.2,57.4,47.2,54.7,10018,377
4,100136,100136,309.5,230,2026,2027,2028,2029,2030,2031,49.5,47.8,55.6,55.7,51.8,49.1,10012,840
2,100136,100136,302.3,130,2026,2027,2028,2029,2030,2031,47.1,51.8,50.1,47.6,56.5,49.2,10012,1149
6,100136,100136,319.3,285,2026,2027,2028,2029,2030,2031,54.5,43.2,58.6,53.7,59.2,50.1,10012,982
15,100136,100136,301.3,222,2026,2027,2028,2029,2030,2031,47.3,47.2,56.5,47.0,52.7,50.6,10012,1034
7,100137,100137,337.0,75,2026,2027,2028,2029,2030,2031,60.0,50.2,57.3,59.7,62.8,47.0,10008,670
17,100137,100137,331.8,64,2026,2027,2028,2029,2030,2031,59.9,53.5,60.7,51.6,47.4,58.7,10008,833
11,100137,100137,355.7,269,2026,2027,2028,2029,2030,2031,59.4,62.8,65.0,59.0,60.4,49.1,10008,701
998,100137,100137,336.1,97,2026,2027,2028,2029,2030,2031,54.0,61.5,59.2,62.2,50.3,48.9,10008,562
3,100138,100138,1057.1,91,2026,2027,2028,2029,2030,2031,194.7,157.2,165.9,193.6,185.8,159.9,10003,1163
997,100138,100138,1009.0,95,2026,2027,2028,2029,2030,2031,157.2,144.7,163.7,199.0,156.1,188.3,10003,960
15,100138,100138,1012.1,246,2026,2027,2028,2029,2030,2031,169.7,195.1,176.6,151.5,169.7,149.5,10003,954
15,100139,100139,292.1,217,2026,2027,2028,2029,2030,2031,43.1,43.7,55.2,56.1,42.8,51.2,10019,650
999,100139,100139,325.8,181,2026,2027,2028,2029,2030,2031,58.8,54.1,47.2,54.8,58.3,52.6,10019,674
9,100139,100139,312.1,107,2026,2027,2028,2029,2030,2031,56.0,50.9,49.6,55.2,56.7,43.7,10019,421
4,100139,100139,327.0,224,2026,2027,2028,2029,2030,2031,59.2,56.8,50.9,52.4,58.9,48.8,10019,529
997,100140,100140,971.3,101,2026,2027,2028,2029,2030,2031,150.6,176.9,149.2,176.2,171.9,146.5,10019,2978
3,100140,100140,938.3,141,2026,2027,2028,2029,2030,2031,133.0,151.6,141.2,168.4,179.2,164.9,10019,3666
7,100141,100141,320.6,186,2026,2027,2028,2029,2030,2031,58.4,56.0,54.1,46.2,55.1,50.8,10013,542
5,100141,100141,329.5,153,2026,2027,2028,2029,2030,2031,60.1,63.0,45.4,51.3,51.3,58.4,10013,326
2,100141,100141,337.7,198,2026,2027,2028,2029,2030,2031,60.0,57.4,53.6,57.6,61.3,47.8,10013,356
1,100141,100141,323.0,112,2026,2027,2028,2029,2030,2031,46.4,58.7,54.1,45.4,61.9,56.5,10013,475
2,100142,100142,885.5,79,2026,2027,2028,2029,2030,2031,161.5,125.5,151.1,162.2,123.9,161.3,10020,850
10,100142,100142,925.2,223,2026,2027,2028,2029,2030,2031,160.4,131.7,160.7,141.9,161.0,169.5,10020,801
19,100143,100143,315.6,80,2026,2027,2028,2029,2030,2031,44.9,57.1,56.4,55.9,52.9,48.4,10019,777
18,100143,100143,295.1,84,2026,2027,2028,2029,2030,2031,55.8,45.4,49.0,45.4,46.8,52.7,10019,683
6,100144,100144,499.7,256,2026,2027,2028,2029,2030,2031,72.4,77.6,74.9,91.6,98.6,84.6,10016,1198
1,100144,100144,484.2,94,2026,2027,2028,2029,2030,2031,86.4,76.0,76.5,80.3,85.6,79.4,10016,1087
