productCode,mainCode,description,CGNo,retail,cgDesc,cgComplete,SCGNo,scgDesc,scgComplete,productClass,buyingDirector,groupBuyingDirector,packsize
100160,100160,Snacks item 100160,7,29.16,Snacks,07 - Snacks,5,Snacks subgroup 5,05 - Snacks subgroup 5,non_seasonal,Emily Faraday,Anita Gomez,36
100161,100161,Beverage item 100161,11,1.39,Beverage,11 - Beverage,4,Beverage subgroup 4,04 - Beverage subgroup 4,non_seasonal,Anita Gomez,Jamal Reed,36
100162,100162,Seafood item 100162,12,39.0,Seafood,12 - Seafood,4,Seafood subgroup 4,04 - Seafood subgroup 4,non_seasonal,Jamal Reed,Felipe Ortega,8
100163,100163,Beer item 100163,4,13.27,Beer,04 - Beer,2,Beer subgroup 2,02 - Beer subgroup 2,non_seasonal,Carolyn Patel,Brett Cho,36
100164,100164,Beverage item 100164,11,39.63,Beverage,11 - Beverage,1,Beverage subgroup 1,01 - Beverage subgroup 1,non_seasonal,Jamal Reed,Felipe Ortega,6
100165,100165,Seafood item 100165,12,45.56,Seafood,12 - Seafood,2,Seafood subgroup 2,02 - Seafood subgroup 2,non_seasonal,Grace Wu,Carolyn Patel,12
100166,100166,Beer item 100166,4,43.94,Beer,04 - Beer,2,Beer subgroup 2,02 - Beer subgroup 2,non_seasonal,Iris Tanaka,Iris Tanaka,12
100167,100167,Dairy item 100167,5,45.78,Dairy,05 - Dairy,2,Dairy subgroup 2,02 - Dairy subgroup 2,non_seasonal,Emily Faraday,Felipe Ortega,18
100168,100168,Sparkling wine item 100168,2,7.89,Sparkling wine,02 - Sparkling wine,4,Sparkling wine subgroup 4,04 - Sparkling wine subgroup 4,non_seasonal,Grace Wu,Iris Tanaka,8
100169,100169,Produce item 100169,6,1.67,Produce,06 - Produce,1,Produce subgroup 1,01 - Produce subgroup 1,Seasonal,Brett Cho,Hassan Mehta,24
100170,100170,Produce item 100170,6,41.29,Produce,06 - Produce,3,Produce subgroup 3,03 - Produce subgroup 3,Seasonal,Brett Cho,Derek Lin,12
100171,100171,Frozen item 100171,8,45.84,Frozen,08 - Frozen,1,Frozen subgroup 1,01 - Frozen subgroup 1,non_seasonal,Brett Cho,Hassan Mehta,8
100172,100172,Seafood item 100172,12,6.71,Seafood,12 - Seafood,3,Seafood subgroup 3,03 - Seafood subgroup 3,non_seasonal,Anita Gomez,Emily Faraday,6
100173,100173,Frozen item 100173,8,12.5,Frozen,08 - Frozen,1,Frozen subgroup 1,01 - Frozen subgroup 1,non_seasonal,Carolyn Patel,Grace Wu,24
100174,100174,Frozen item 100174,8,29.77,Frozen,08 - Frozen,3,Frozen subgroup 3,03 - Frozen subgroup 3,non_seasonal,Carolyn Patel,Grace Wu,36
100175,100175,Beverage item 100175,11,31.16,Beverage,11 - Beverage,1,Beverage subgroup 1,01 - Beverage subgroup 1,non_seasonal,Anita Gomez,Felipe Ortega,12
100176,100176,Beer item 100176,4,47.57,Beer,04 - Beer,4,Beer subgroup 4,04 - Beer subgroup 4,non_seasonal,Brett Cho,Felipe Ortega,12
100177,100177,Meat item 100177,9,20.5,Meat,09 - Meat,3,Meat subgroup 3,03 - Meat subgroup 3,non_seasonal,Brett Cho,Hassan Mehta,8
100178,100178,Sparkling wine item 100178,2,32.33,Sparkling wine,02 - Sparkling wine,2,Sparkling wine subgroup 2,02 - Sparkling wine subgroup 2,non_seasonal,Anita Gomez,Felipe Ortega,6
100179,100179,Beer item 100179,4,11.05,Beer,04 - Beer,2,Beer subgroup 2,02 - Beer subgroup 2,non_seasonal,Derek Lin,Jamal Reed,24
100180,100180,Beer item 100180,4,38.93,Beer,04 - Beer,2,Beer subgroup 2,02 - Beer subgroup 2,non_seasonal,Anita Gomez,Emily Faraday,24
100181,100181,Wine item 100181,3,13.27,Wine,03 - Wine,2,Wine subgroup 2,02 - Wine subgroup 2,non_seasonal,Brett Cho,Anita Gomez,8
100182,100182,Wine item 100182,3,39.7,Wine,03 - Wine,1,Wine subgroup 1,01 - Wine subgroup 1,non_seasonal,Jamal Reed,Felipe Ortega,8
100183,100183,Bakery item 100183,1,3.56,Bakery,01 - Bakery,2,Bakery subgroup 2,02 - Bakery subgroup 2,non_seasonal,Grace Wu,Iris Tanaka,36
100184,100184,Sparkling wine item 100184,2,22.96,Sparkling wine,02 - Sparkling wine,1,Sparkling wine subgroup 1,01 - Sparkling wine subgroup 1,non_seasonal,Iris Tanaka,Jamal Reed,12
100185,100185,Sparkling wine item 100185,2,11.85,Sparkling wine,02 - Sparkling wine,4,Sparkling wine subgroup 4,04 - Sparkling wine subgroup 4,non_seasonal,Anita Gomez,Iris Tanaka,24
100186,100186,Dairy item 100186,5,3.97,Dairy,05 - Dairy,4,Dairy subgroup 4,04 - Dairy subgroup 4,non_seasonal,Grace Wu,Grace Wu,18
100187,100187,Beverage item 100187,11,35.9,Beverage,11 - Beverage,1,Beverage subgroup 1,01 - Beverage subgroup 1,non_seasonal,Brett Cho,Brett Cho,18
100188,100188,Produce item 100188,6,4.21,Produce,06 - Produce,5,Produce subgroup 5,05 - Produce subgroup 5,Seasonal,Jamal Reed,Jamal Reed,12
100189,100189,Meat item 100189,9,49.73,Meat,09 - Meat,3,Meat subgroup 3,03 - Meat subgroup 3,non_seasonal,Emily Faraday,Hassan Mehta,24
100190,100190,Meat item 100190,9,5.85,Meat,09 - Meat,5,Meat subgroup 5,05 - Meat subgroup 5,non_seasonal,Brett Cho,Iris Tanaka,36
100191,100191,Seafood item 100191,12,23.12,Seafood,12 - Seafood,2,Seafood subgroup 2,02 - Seafood subgroup 2,non_seasonal,Grace Wu,Felipe Ortega,8
100192,100192,Frozen item 100192,8,36.74,Frozen,08 - Frozen,4,Frozen subgroup 4,04 - Frozen subgroup 4,non_seasonal,Grace Wu,Felipe Ortega,12
100193,100193,Beverage item 100193,11,47.72,Beverage,11 - Beverage,3,Beverage subgroup 3,03 - Beverage subgroup 3,non_seasonal,Hassan Mehta,Brett Cho,36
100194,100194,Sparkling wine item 100194,2,22.15,Sparkling wine,02 - Sparkling wine,1,Sparkling wine subgroup 1,01 - Sparkling wine subgroup 1,non_seasonal,Felipe Ortega,Carolyn Patel,36
100195,100195,Meat item 100195,9,33.82,Meat,09 - Meat,1,Meat subgroup 1,01 - Meat subgroup 1,non_seasonal,Felipe Ortega,Grace Wu,18
100196,100196,Seafood item 100196,12,30.41,Seafood,12 - Seafood,1,Seafood subgroup 1,01 - Seafood subgroup 1,non_seasonal,Brett Cho,Jamal Reed,12
100197,100197,Meat item 100197,9,33.17,Meat,09 - Meat,2,Meat subgroup 2,02 - Meat subgroup 2,non_seasonal,Brett Cho,Felipe Ortega,8
100198,100198,Meat item 100198,9,38.36,Meat,09 - Meat,3,Meat subgroup 3,03 - Meat subgroup 3,non_seasonal,Derek Lin,Grace Wu,24
100199,100199,Meat item 100199,9,30.83,Meat,09 - Meat,5,Meat subgroup 5,05 - Meat subgroup 5,non_seasonal,Emily Faraday,Anita Gomez,36
